Timestamp,Piece,Reference,User Input,Response Time (s)
2024-07-12 23:30:20,"('yellow', 'orange', 'green')",T,t,7.586
2024-07-12 23:30:30,"('blue', 'white', 'orange')",G,g,9.968
2024-07-12 23:30:32,"('blue', 'white', 'orange')",G,g,1.884
2024-07-12 23:30:38,"('green', 'orange', 'white')",P,p,6.086
2024-07-12 23:30:44,"('white', 'orange', 'blue')",L,l,5.772
2024-07-12 23:30:52,"('yellow', 'orange', 'green')",T,t,7.922
2024-07-12 23:30:55,"('red', 'green', 'white')",C,c,2.936
2024-07-12 23:30:59,"('green', 'orange', 'white')",P,p,4.181
2024-07-12 23:31:05,"('orange', 'yellow', 'blue')",X,x,5.299
2024-07-12 23:31:06,"('orange', 'yellow', 'blue')",X,x,1.208
2024-07-12 23:31:10,"('blue', 'red', 'white')",F,f,4.152
2024-07-12 23:31:14,"('red', 'white', 'blue')",D,d,3.461
2024-07-12 23:31:18,"('white', 'blue', 'red')",I,i,3.824
2024-07-12 23:31:21,"('green', 'white', 'red')",M,m,3.330
2024-07-12 23:31:26,"('orange', 'green', 'yellow')",W,w,4.683
2024-07-12 23:31:31,"('yellow', 'orange', 'green')",T,t,4.232
2024-07-12 23:31:39,"('white', 'orange', 'blue')",L,l,8.258
2024-07-12 23:31:44,"('green', 'white', 'red')",M,m,5.341
2024-07-12 23:31:55,"('white', 'green', 'orange')",K,k,10.612
2024-07-12 23:32:05,"('blue', 'orange', 'yellow')",H,h,10.154
2024-07-12 23:32:10,"('red', 'white', 'blue')",D,d,4.333
2024-07-12 23:32:14,"('white', 'red', 'green')",J,j,4.323
2024-07-12 23:32:19,"('yellow', 'red', 'blue')",R,r,4.429
2024-07-12 23:32:25,"('yellow', 'orange', 'green')",T,t,5.703
2024-07-12 23:32:28,"('red', 'white', 'blue')",D,d,3.065
2024-07-12 23:32:30,"('red', 'white', 'blue')",D,d,1.735
2024-07-12 23:32:37,"('red', 'yellow', 'green')",B,b,7.018
2024-07-12 23:32:38,"('red', 'yellow', 'green')",B,b,1.078
2024-07-12 23:32:43,"('orange', 'blue', 'white')",U,u,4.597
2024-07-12 23:32:46,"('orange', 'white', 'green')",V,v,2.510
2024-07-12 23:32:49,"('red', 'white', 'blue')",D,d,2.700
2024-07-12 23:32:52,"('yellow', 'orange', 'green')",T,t,3.535
2024-07-12 23:33:02,"('blue', 'white', 'orange')",G,g,9.125
2024-07-12 23:33:03,"('blue', 'white', 'orange')",G,g,1.028
2024-07-12 23:33:11,"('green', 'orange', 'white')",P,p,7.384
2024-07-12 23:33:18,"('yellow', 'blue', 'orange')",S,s,7.587
2024-07-12 23:33:21,"('red', 'white', 'blue')",D,d,2.165
2024-07-12 23:33:24,"('white', 'blue', 'red')",I,i,2.414
2024-07-12 23:33:28,"('blue', 'yellow', 'red')",E,e,4.073
2024-07-12 23:33:41,"('white', 'green', 'orange')",K,k,12.875
2024-07-12 23:33:57,"('green', 'red', 'yellow')",N,n,16.169
2024-07-12 23:34:01,"('white', 'blue', 'red')",I,e,3.124
2024-07-12 23:34:07,"('red', 'yellow', 'green')",B,b,6.328
2024-07-12 23:34:11,"('green', 'white', 'red')",M,m,3.691
2024-07-12 23:34:16,"('orange', 'green', 'yellow')",W,w,4.888
2024-07-12 23:34:20,"('blue', 'yellow', 'red')",E,e,3.196
2024-07-12 23:34:23,"('red', 'yellow', 'green')",B,b,3.174
2024-07-12 23:34:30,"('blue', 'yellow', 'red')",E,e,5.999
2024-07-12 23:34:35,"('orange', 'white', 'green')",V,v,4.862
2024-07-12 23:34:40,"('red', 'yellow', 'green')",B,b,4.848
2024-07-12 23:34:43,"('blue', 'red', 'white')",F,e,2.205
2024-07-12 23:34:52,"('yellow', 'blue', 'orange')",S,s,8.940
2024-07-12 23:34:55,"('green', 'white', 'red')",M,m,3.291
2024-07-12 23:34:59,"('orange', 'white', 'green')",V,v,3.569
2024-07-12 23:35:10,"('blue', 'white', 'orange')",G,f,10.596
2024-07-12 23:35:18,"('yellow', 'red', 'blue')",R,r,7.747
2024-07-12 23:35:25,"('yellow', 'orange', 'green')",T,t,6.727
2024-07-12 23:35:31,"('white', 'orange', 'blue')",L,l,5.746
2024-07-12 23:35:35,"('blue', 'white', 'orange')",G,f,2.776
2024-07-12 23:35:42,"('orange', 'white', 'green')",V,v,7.407
2024-07-12 23:35:47,"('white', 'red', 'green')",J,j,4.223
2024-07-12 23:35:53,"('white', 'green', 'orange')",K,k,5.687
2024-07-12 23:35:56,"('red', 'blue', 'yellow')",A,a,2.365
2024-07-12 23:36:03,"('green', 'orange', 'white')",P,p,7.184
2024-07-12 23:36:08,"('yellow', 'orange', 'green')",T,t,4.700
2024-07-12 23:36:11,"('red', 'yellow', 'green')",B,b,2.560
2024-07-12 23:36:15,"('orange', 'blue', 'white')",U,u,2.822
2024-07-12 23:36:18,"('red', 'green', 'white')",C,c,2.493
2024-07-12 23:36:22,"('orange', 'white', 'green')",V,v,4.374
